episodio,goal_id,resultado,pasos,reward,heading_rad
183,goal_02,exito,389,90.2,-3.1197
184,goal_02,exito,389,90.17,-3.1249
185,goal_02,exito,389,90.19,-3.1234
186,goal_02,exito,389,90.19,-3.1214
187,goal_02,exito,389,90.18,-3.1223
188,goal_02,exito,389,90.18,-3.1248
189,goal_02,exito,389,90.19,-3.1221
190,goal_02,exito,389,90.2,-3.1209
191,goal_02,exito,389,90.17,-3.125
192,goal_02,exito,389,90.16,-3.1257
193,goal_02,exito,389,90.21,-3.12
194,goal_02,exito,389,90.19,-3.1221
195,goal_02,exito,389,90.15,-3.1274
196,goal_02,exito,389,90.2,-3.12
197,goal_02,exito,389,90.2,-3.1213
198,goal_02,exito,389,90.17,-3.1252
199,goal_02,exito,389,90.18,-3.1244
200,goal_02,exito,389,90.19,-3.1205
201,goal_03,exito,499,105.4,3.0609
202,goal_03,exito,499,105.39,3.0612
203,goal_03,exito,499,105.37,3.0602
204,goal_03,exito,499,105.38,3.0607
205,goal_03,exito,499,105.4,3.0585
206,goal_03,exito,499,105.38,3.0561
207,goal_03,exito,499,105.39,3.0583
208,goal_03,exito,499,105.4,3.0592
209,goal_03,exito,499,105.37,3.0609
210,goal_03,exito,499,105.38,3.0611
211,goal_03,exito,499,105.39,3.0608
212,goal_03,exito,499,105.38,3.0587
213,goal_03,exito,499,105.39,3.0568
214,goal_03,exito,499,105.4,3.057
215,goal_03,exito,499,105.39,3.0596
216,goal_03,exito,499,105.38,3.0609
217,goal_03,exito,499,105.38,3.0606
218,goal_03,exito,499,105.38,3.0617
219,goal_03,exito,499,105.38,3.0601
220,goal_03,exito,499,105.39,3.0575
221,goal_03,exito,499,105.39,3.0574
222,goal_03,exito,499,105.39,3.0587
223,goal_03,exito,499,105.38,3.06
224,goal_03,exito,499,105.38,3.0606
225,goal_03,exito,499,105.39,3.0614
226,goal_03,exito,499,105.38,3.0615
227,goal_03,exito,499,105.38,3.059
228,goal_03,exito,499,105.4,3.057
229,goal_03,exito,499,105.39,3.0582
230,goal_03,exito,499,105.38,3.0594
231,goal_03,exito,499,105.4,3.0587
232,goal_03,exito,499,105.38,3.0615
233,goal_03,exito,499,105.37,3.0623
234,goal_03,exito,499,105.39,3.0599
235,goal_03,exito,499,105.39,3.0573
236,goal_03,exito,499,105.38,3.0585
237,goal_03,exito,499,105.4,3.0577
238,goal_03,exito,499,105.39,3.0584
239,goal_03,exito,499,105.37,3.0616
240,goal_03,exito,499,105.39,3.0616
241,goal_03,exito,499,105.39,3.06
242,goal_03,exito,499,105.37,3.0591
243,goal_03,exito,499,105.39,3.059
244,goal_03,exito,499,105.4,3.0568
245,goal_03,exito,499,105.38,3.0577
246,goal_03,exito,499,105.39,3.0607
247,goal_03,exito,499,105.38,3.0615
248,goal_03,exito,499,105.38,3.0598
249,goal_03,exito,499,105.38,3.061
250,goal_03,exito,499,105.38,3.0598
251,goal_03,exito,499,105.4,3.0559
252,goal_03,exito,499,105.39,3.0578
253,goal_03,exito,499,105.38,3.0604
254,goal_03,exito,499,105.38,3.0607
255,goal_03,exito,499,105.39,3.0602
256,goal_03,exito,499,105.37,3.0624
257,goal_03,exito,499,105.38,3.0609
258,goal_03,exito,499,105.4,3.0558
259,goal_03,exito,497,105.04,2.8621
260,goal_03,exito,499,105.41,3.0574
261,goal_03,exito,499,105.39,3.0582
262,goal_03,exito,499,105.38,3.0594
263,goal_03,exito,499,105.38,3.0605
264,goal_03,exito,499,105.39,3.0613
265,goal_03,exito,499,105.37,3.0617
266,goal_03,exito,499,105.38,3.0596
267,goal_03,exito,499,105.4,3.0576
268,goal_03,exito,499,105.38,3.0578
269,goal_03,exito,499,105.38,3.0588
270,goal_03,exito,499,105.4,3.058
271,goal_03,exito,499,105.38,3.0616
272,goal_03,exito,499,105.37,3.0624
273,goal_03,exito,499,105.39,3.06
274,goal_03,exito,499,105.38,3.0583
275,goal_03,exito,499,105.38,3.0586
276,goal_03,exito,499,105.41,3.0567
