episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
619,goal_07,exit,colision,1,-150.0,True
620,goal_07,exit,colision,1,-150.0,True
621,goal_07,exit,colision,1,-150.0,True
622,goal_07,exit,colision,1,-150.0,True
623,goal_07,exit,colision,1,-150.0,True
624,goal_07,exit,colision,1,-150.0,True
625,goal_07,exit,colision,1,-150.0,True
626,goal_07,exit,colision,1,-150.0,True
627,goal_07,exit,colision,1,-150.0,True
628,goal_07,exit,colision,1,-150.0,True
629,goal_07,exit,colision,1,-150.0,True
630,goal_07,exit,colision,1,-150.0,True
631,goal_07,exit,colision,1,-150.0,True
632,goal_07,exit,colision,1,-150.0,True
633,goal_07,exit,colision,1,-150.0,True
634,goal_07,exit,colision,1,-150.0,True
635,goal_07,exit,colision,1,-150.0,True
636,goal_07,exit,colision,1,-150.0,True
637,goal_07,exit,colision,1,-150.0,True
638,goal_07,exit,colision,1,-150.0,True
639,goal_07,exit,colision,1,-150.0,True
640,goal_07,exit,colision,1,-150.0,True
641,goal_07,exit,colision,1,-150.0,True
642,goal_07,exit,colision,1,-150.0,True
643,goal_07,exit,colision,1,-150.0,True
644,goal_07,exit,colision,1,-150.0,True
645,goal_07,exit,colision,1,-150.0,True
646,goal_07,exit,colision,1,-150.0,True
647,goal_07,exit,colision,1,-150.0,True
648,goal_07,exit,colision,1,-150.0,True
649,goal_07,exit,colision,1,-150.0,True
650,goal_07,exit,colision,1,-150.0,True
651,goal_07,exit,colision,1,-150.0,True
652,goal_07,exit,colision,1,-150.0,True
653,goal_07,exit,colision,1,-150.0,True
654,goal_07,exit,colision,1,-150.0,True
655,goal_07,exit,colision,1,-150.0,True
656,goal_07,exit,colision,1,-150.0,True
657,goal_07,exit,colision,1,-150.0,True
658,goal_07,exit,colision,1,-150.0,True
659,goal_07,exit,colision,1,-150.0,True
660,goal_07,exit,colision,1,-150.0,True
661,goal_07,exit,colision,1,-150.0,True
662,goal_07,exit,colision,1,-150.0,True
663,goal_07,exit,colision,1,-150.0,True
664,goal_07,exit,colision,1,-150.0,True
665,goal_07,exit,colision,1,-150.0,True
666,goal_07,exit,colision,1,-150.0,True
667,goal_07,exit,colision,1,-150.0,True
668,goal_07,exit,colision,1,-150.0,True
669,goal_07,exit,colision,1,-150.0,True
670,goal_07,exit,colision,1,-150.0,True
671,goal_07,exit,colision,1,-150.0,True
672,goal_07,exit,colision,1,-150.0,True
673,goal_07,exit,colision,1,-150.0,True
674,goal_07,exit,colision,1,-150.0,True
675,goal_07,exit,colision,1,-150.0,True
676,goal_07,exit,colision,1,-150.0,True
677,goal_07,exit,colision,1,-150.0,True
678,goal_07,exit,colision,1,-150.0,True
679,goal_07,exit,colision,1,-150.0,True
680,goal_07,exit,colision,1,-150.0,True
681,goal_07,exit,colision,1,-150.0,True
682,goal_07,exit,colision,1,-150.0,True
683,goal_07,exit,colision,1,-150.0,True
684,goal_07,exit,colision,1,-150.0,True
685,goal_07,exit,colision,1,-150.0,True
686,goal_07,exit,colision,1,-150.0,True
687,goal_07,exit,colision,1,-150.0,True
688,goal_07,exit,colision,1,-150.0,True
689,goal_07,exit,colision,1,-150.0,True
690,goal_07,exit,colision,1,-150.0,True
691,goal_07,exit,colision,1,-150.0,True
692,goal_07,exit,colision,1,-150.0,True
693,goal_07,exit,colision,1,-150.0,True
694,goal_07,exit,colision,1,-150.0,True
695,goal_07,exit,colision,1,-150.0,True
696,goal_07,exit,colision,1,-150.0,True
697,goal_07,exit,colision,1,-150.0,True
698,goal_07,exit,colision,1,-150.0,True
699,goal_07,exit,colision,1,-150.0,True
700,goal_07,exit,colision,1,-150.0,True
701,goal_08,exit,exito,974,230.8,True
702,goal_08,exit,exito,968,228.7,True
703,goal_08,exit,exito,969,230.65,True
704,goal_08,exit,exito,969,230.64,True
705,goal_08,exit,exito,982,232.25,True
706,goal_08,exit,exito,966,230.11,True
707,goal_08,exit,exito,975,232.31,True
708,goal_08,exit,exito,968,228.84,True
709,goal_08,exit,exito,971,231.23,True
710,goal_08,exit,exito,972,231.29,True
711,goal_08,exit,exito,966,230.11,True
712,goal_08,exit,exito,971,231.31,True
713,goal_08,exit,exito,969,230.64,True
714,goal_08,exit,exito,968,230.4,True
715,goal_08,exit,exito,983,232.04,True
716,goal_08,exit,exito,968,229.26,True
717,goal_08,exit,exito,969,230.65,True
718,goal_08,exit,exito,968,230.21,True
719,goal_08,exit,exito,971,228.61,True
720,goal_08,exit,exito,969,228.76,True
721,goal_08,exit,exito,972,227.63,True
722,goal_08,exit,exito,969,228.15,True
723,goal_08,exit,exito,979,232.19,True
724,goal_08,exit,exito,972,231.09,True
725,goal_08,exit,exito,968,230.4,True
726,goal_08,exit,exito,968,230.23,True
727,goal_08,exit,exito,967,230.49,True
728,goal_08,exit,exito,970,231.04,True
