episodio,goal_id,tipo_episodio,resultado,pasos,reward,llego_estanteria
1651,goal_17,ciclo_completo,exito,1914,400.04,True
1652,goal_17,ciclo_completo,exito,1915,400.13,True
1653,goal_17,ciclo_completo,exito,1914,400.05,True
1654,goal_17,ciclo_completo,exito,1914,400.04,True
1655,goal_17,ciclo_completo,exito,1914,400.04,True
1656,goal_17,ciclo_completo,exito,1915,400.13,True
1657,goal_17,ciclo_completo,exito,1914,400.05,True
1658,goal_17,ciclo_completo,exito,1914,400.05,True
1659,goal_17,ciclo_completo,exito,1914,400.04,True
1660,goal_17,ciclo_completo,exito,1915,400.13,True
1661,goal_17,ciclo_completo,exito,1914,400.04,True
1662,goal_17,ciclo_completo,exito,1915,400.13,True
1663,goal_17,ciclo_completo,exito,1914,400.04,True
1664,goal_17,ciclo_completo,exito,1915,400.12,True
1665,goal_17,ciclo_completo,exito,1915,400.12,True
1666,goal_17,ciclo_completo,exito,1915,400.13,True
1667,goal_17,ciclo_completo,exito,1914,400.04,True
1668,goal_17,ciclo_completo,exito,1915,400.12,True
1669,goal_17,ciclo_completo,exito,1915,400.13,True
1670,goal_17,ciclo_completo,exito,1915,400.13,True
1671,goal_17,ciclo_completo,exito,1914,400.04,True
1672,goal_17,ciclo_completo,exito,1915,400.13,True
1673,goal_17,ciclo_completo,exito,1914,400.05,True
1674,goal_17,ciclo_completo,exito,1914,400.05,True
1675,goal_17,ciclo_completo,exito,1914,400.04,True
1676,goal_17,ciclo_completo,exito,1914,400.04,True
1677,goal_17,ciclo_completo,exito,1914,400.04,True
1678,goal_17,ciclo_completo,exito,1915,400.13,True
1679,goal_17,ciclo_completo,exito,1914,400.04,True
1680,goal_17,ciclo_completo,exito,1914,400.04,True
1681,goal_17,ciclo_completo,exito,1914,400.04,True
1682,goal_17,ciclo_completo,exito,1914,400.05,True
1683,goal_17,ciclo_completo,exito,1914,400.04,True
1684,goal_17,ciclo_completo,exito,1914,400.05,True
1685,goal_17,ciclo_completo,exito,1914,400.04,True
1686,goal_17,ciclo_completo,exito,1914,400.04,True
1687,goal_17,ciclo_completo,exito,1915,400.13,True
1688,goal_17,ciclo_completo,exito,1914,400.04,True
1689,goal_17,ciclo_completo,exito,1914,400.04,True
1690,goal_17,ciclo_completo,exito,1914,400.04,True
1691,goal_17,ciclo_completo,exito,1914,400.04,True
1692,goal_17,ciclo_completo,exito,1914,400.04,True
1693,goal_17,ciclo_completo,exito,1914,400.05,True
1694,goal_17,ciclo_completo,exito,1914,400.04,True
1695,goal_17,ciclo_completo,exito,1914,400.04,True
1696,goal_17,ciclo_completo,exito,1915,400.12,True
1697,goal_17,ciclo_completo,exito,1914,400.04,True
1698,goal_17,ciclo_completo,exito,1915,400.13,True
1699,goal_17,ciclo_completo,exito,1914,400.04,True
1700,goal_17,ciclo_completo,exito,1915,400.12,True
1701,goal_18,ciclo_completo,exito,1828,387.02,True
1702,goal_18,ciclo_completo,exito,1828,387.01,True
1703,goal_18,ciclo_completo,exito,1829,387.2,True
1704,goal_18,ciclo_completo,exito,1828,387.02,True
1705,goal_18,ciclo_completo,exito,1828,387.02,True
1706,goal_18,ciclo_completo,exito,1828,387.01,True
1707,goal_18,ciclo_completo,exito,1828,387.02,True
1708,goal_18,ciclo_completo,exito,1828,387.01,True
1709,goal_18,ciclo_completo,exito,1829,387.21,True
1710,goal_18,ciclo_completo,exito,1828,387.02,True
1711,goal_18,ciclo_completo,exito,1828,387.02,True
1712,goal_18,ciclo_completo,exito,1828,387.02,True
1713,goal_18,ciclo_completo,exito,1828,387.01,True
1714,goal_18,ciclo_completo,exito,1828,387.01,True
1715,goal_18,ciclo_completo,exito,1828,387.02,True
1716,goal_18,ciclo_completo,exito,1828,387.02,True
1717,goal_18,ciclo_completo,exito,1828,387.02,True
1718,goal_18,ciclo_completo,exito,1828,387.02,True
1719,goal_18,ciclo_completo,exito,1828,387.01,True
1720,goal_18,ciclo_completo,exito,1828,387.01,True
1721,goal_18,ciclo_completo,exito,1828,387.02,True
1722,goal_18,ciclo_completo,exito,1828,387.02,True
1723,goal_18,ciclo_completo,exito,1828,387.01,True
1724,goal_18,ciclo_completo,exito,1828,387.03,True
1725,goal_18,ciclo_completo,exito,1828,387.01,True
1726,goal_18,ciclo_completo,exito,1829,387.21,True
1727,goal_18,ciclo_completo,exito,1828,387.02,True
1728,goal_18,ciclo_completo,exito,1828,387.02,True
1729,goal_18,ciclo_completo,exito,1828,387.02,True
1730,goal_18,ciclo_completo,exito,1828,387.02,True
1731,goal_18,ciclo_completo,exito,1828,387.01,True
1732,goal_18,ciclo_completo,exito,1829,387.21,True
1733,goal_18,ciclo_completo,exito,1828,387.02,True
1734,goal_18,ciclo_completo,exito,1828,387.02,True
1735,goal_18,ciclo_completo,exito,1828,387.02,True
1736,goal_18,ciclo_completo,exito,1828,387.01,True
1737,goal_18,ciclo_completo,exito,1828,387.01,True
1738,goal_18,ciclo_completo,exito,1828,387.02,True
1739,goal_18,ciclo_completo,exito,1828,387.01,True
1740,goal_18,ciclo_completo,exito,1828,387.02,True
1741,goal_18,ciclo_completo,exito,1828,387.03,True
1742,goal_18,ciclo_completo,exito,1828,387.01,True
1743,goal_18,ciclo_completo,exito,1828,387.01,True
1744,goal_18,ciclo_completo,exito,1828,387.02,True
1745,goal_18,ciclo_completo,exito,1829,387.21,True
1746,goal_18,ciclo_completo,exito,1828,387.02,True
1747,goal_18,ciclo_completo,exito,1828,387.03,True
1748,goal_18,ciclo_completo,exito,1828,387.01,True
1749,goal_18,ciclo_completo,exito,1828,387.01,True
1750,goal_18,ciclo_completo,exito,1828,387.02,True
1751,goal_18,ciclo_completo,exito,1828,387.02,True
1752,goal_18,ciclo_completo,exito,1828,387.02,True
1753,goal_18,ciclo_completo,exito,1828,387.02,True
1754,goal_18,ciclo_completo,exito,1828,387.01,True
1755,goal_18,ciclo_completo,exito,1829,387.21,True
1756,goal_18,ciclo_completo,exito,1828,387.01,True
1757,goal_18,ciclo_completo,exito,1828,387.02,True
1758,goal_18,ciclo_completo,exito,1828,387.02,True
1759,goal_18,ciclo_completo,exito,1828,387.01,True
1760,goal_18,ciclo_completo,exito,1828,387.01,True
1761,goal_18,ciclo_completo,exito,1828,387.02,True
1762,goal_18,ciclo_completo,exito,1829,387.2,True
1763,goal_18,ciclo_completo,exito,1828,387.02,True
1764,goal_18,ciclo_completo,exito,1828,387.03,True
1765,goal_18,ciclo_completo,exito,1828,387.01,True
1766,goal_18,ciclo_completo,exito,1828,387.01,True
1767,goal_18,ciclo_completo,exito,1828,387.02,True
1768,goal_18,ciclo_completo,exito,1829,387.2,True
1769,goal_18,ciclo_completo,exito,1828,387.02,True
1770,goal_18,ciclo_completo,exito,1828,387.02,True
1771,goal_18,ciclo_completo,exito,1829,387.2,True
1772,goal_18,ciclo_completo,exito,1828,387.01,True
1773,goal_18,ciclo_completo,exito,1828,387.02,True
1774,goal_18,ciclo_completo,exito,1829,387.21,True
1775,goal_18,ciclo_completo,exito,1828,387.01,True
1776,goal_18,ciclo_completo,exito,1828,387.02,True
1777,goal_18,ciclo_completo,exito,1829,387.2,True
1778,goal_18,ciclo_completo,exito,1828,387.01,True
1779,goal_18,ciclo_completo,exito,1828,387.02,True
1780,goal_18,ciclo_completo,exito,1828,387.02,True
1781,goal_18,ciclo_completo,exito,1828,387.01,True
1782,goal_18,ciclo_completo,exito,1828,387.02,True
1783,goal_18,ciclo_completo,exito,1828,387.01,True
1784,goal_18,ciclo_completo,exito,1829,387.21,True
1785,goal_18,ciclo_completo,exito,1828,387.02,True
1786,goal_18,ciclo_completo,exito,1828,387.02,True
1787,goal_18,ciclo_completo,exito,1828,387.02,True
1788,goal_18,ciclo_completo,exito,1828,387.01,True
1789,goal_18,ciclo_completo,exito,1828,387.01,True
1790,goal_18,ciclo_completo,exito,1829,387.21,True
1791,goal_18,ciclo_completo,exito,1828,387.02,True
1792,goal_18,ciclo_completo,exito,1828,387.02,True
