episodio,goal_id,resultado,pasos_ap_ex,pasos_retorno,pasos_total,reward_ap_ex,reward_retorno,reward_total,llego_estanteria,llego_descarga
352,goal_04,exito,1678,456,2134,384.35,147.05,531.4,1,1
353,goal_04,exito,1678,481,2159,384.36,145.4,529.76,1,1
354,goal_04,exito,1678,463,2141,384.35,146.36,530.71,1,1
355,goal_04,exito,1678,473,2151,384.36,145.99,530.35,1,1
356,goal_04,exito,1678,471,2149,384.36,145.95,530.32,1,1
357,goal_04,exito,1678,452,2130,384.36,147.29,531.65,1,1
358,goal_04,exito,1678,462,2140,384.36,146.6,530.96,1,1
359,goal_04,exito,1678,467,2145,384.36,146.17,530.53,1,1
360,goal_04,exito,1678,472,2150,384.36,145.89,530.25,1,1
361,goal_04,exito,1678,481,2159,384.35,145.43,529.78,1,1
362,goal_04,exito,1677,459,2136,384.18,146.78,530.96,1,1
363,goal_04,exito,1678,452,2130,384.35,147.29,531.63,1,1
364,goal_04,exito,1678,483,2161,384.36,145.29,529.65,1,1
365,goal_04,exito,1678,476,2154,384.36,145.77,530.13,1,1
366,goal_04,exito,1678,475,2153,384.36,145.9,530.26,1,1
367,goal_04,exito,1678,475,2153,384.36,145.81,530.17,1,1
368,goal_04,exito,1678,481,2159,384.36,145.45,529.82,1,1
369,goal_04,exito,1678,475,2153,384.35,145.88,530.22,1,1
370,goal_04,exito,1678,468,2146,384.35,146.19,530.55,1,1
371,goal_04,exito,1678,474,2152,384.35,145.88,530.23,1,1
372,goal_04,exito,1678,453,2131,384.35,147.42,531.77,1,1
373,goal_04,exito,1678,472,2150,384.35,145.92,530.28,1,1
374,goal_04,exito,1678,475,2153,384.35,145.92,530.27,1,1
375,goal_04,exito,1678,476,2154,384.35,145.87,530.22,1,1
376,goal_04,exito,1678,464,2142,384.36,146.46,530.82,1,1
377,goal_04,exito,1678,475,2153,384.36,145.79,530.15,1,1
378,goal_04,exito,1678,472,2150,384.36,145.97,530.33,1,1
379,goal_04,exito,1678,467,2145,384.36,146.23,530.59,1,1
380,goal_04,exito,1678,461,2139,384.36,146.64,531.0,1,1
381,goal_04,exito,1678,472,2150,384.36,145.88,530.25,1,1
382,goal_04,exito,1678,463,2141,384.36,146.55,530.91,1,1
383,goal_04,exito,1678,476,2154,384.35,145.89,530.24,1,1
384,goal_04,exito,1678,482,2160,384.35,145.45,529.8,1,1
385,goal_04,exito,1678,455,2133,384.36,147.02,531.38,1,1
386,goal_04,exito,1678,467,2145,384.35,146.27,530.61,1,1
387,goal_04,exito,1678,473,2151,384.36,145.99,530.35,1,1
388,goal_04,exito,1678,459,2137,384.35,146.75,531.1,1,1
389,goal_04,exito,1678,458,2136,384.36,146.82,531.18,1,1
390,goal_04,exito,1678,482,2160,384.36,145.45,529.81,1,1
391,goal_04,exito,1678,461,2139,384.36,146.6,530.95,1,1
392,goal_04,exito,1678,475,2153,384.36,145.91,530.27,1,1
393,goal_04,exito,1678,466,2144,384.36,146.28,530.64,1,1
394,goal_04,exito,1678,456,2134,384.36,147.01,531.37,1,1
395,goal_04,exito,1678,474,2152,384.35,145.87,530.22,1,1
396,goal_04,exito,1678,474,2152,384.35,146.0,530.35,1,1
397,goal_04,exito,1678,476,2154,384.36,145.88,530.23,1,1
398,goal_04,exito,1678,477,2155,384.35,145.87,530.22,1,1
399,goal_04,exito,1678,478,2156,384.35,145.71,530.06,1,1
400,goal_04,exito,1678,471,2149,384.35,145.8,530.15,1,1
401,goal_05,exito,646,480,1126,232.78,145.58,378.37,1,1
402,goal_05,exito,646,473,1119,232.66,146.14,378.8,1,1
403,goal_05,exito,646,484,1130,232.66,145.25,377.91,1,1
404,goal_05,exito,646,484,1130,232.94,145.13,378.07,1,1
405,goal_05,exito,646,473,1119,232.88,146.14,379.02,1,1
406,goal_05,exito,646,474,1120,232.84,145.93,378.77,1,1
407,goal_05,exito,646,459,1105,232.85,146.81,379.66,1,1
408,goal_05,exito,646,460,1106,232.84,146.64,379.48,1,1
