episodio,goal_id,resultado,pasos_total,reward_total,llego_estanteria,llego_descarga
219,goal_03,exito,2094,513.26,1,1
220,goal_03,exito,2094,513.27,1,1
221,goal_03,exito,2094,513.27,1,1
222,goal_03,exito,2094,513.27,1,1
223,goal_03,exito,2094,513.25,1,1
224,goal_03,exito,2094,513.24,1,1
225,goal_03,exito,2094,513.25,1,1
226,goal_03,exito,2094,513.27,1,1
227,goal_03,exito,2094,513.27,1,1
228,goal_03,exito,2094,513.26,1,1
229,goal_03,exito,2094,513.27,1,1
230,goal_03,exito,2094,513.26,1,1
231,goal_03,exito,2094,513.27,1,1
232,goal_03,exito,2094,513.26,1,1
233,goal_03,exito,2094,513.26,1,1
234,goal_03,exito,2094,513.26,1,1
235,goal_03,exito,2094,513.26,1,1
236,goal_03,exito,2094,513.26,1,1
237,goal_03,exito,2094,513.26,1,1
238,goal_03,exito,2094,513.2,1,1
239,goal_03,exito,2094,513.26,1,1
240,goal_03,exito,2094,513.26,1,1
241,goal_03,exito,2094,513.24,1,1
242,goal_03,exito,2094,513.26,1,1
243,goal_03,exito,2094,513.26,1,1
244,goal_03,exito,2094,513.26,1,1
245,goal_03,exito,2094,513.27,1,1
246,goal_03,exito,2094,513.27,1,1
247,goal_03,exito,2094,513.27,1,1
248,goal_03,exito,2094,513.24,1,1
249,goal_03,exito,2094,513.25,1,1
250,goal_03,exito,2094,513.27,1,1
251,goal_03,exito,2094,513.27,1,1
252,goal_03,exito,2094,513.25,1,1
253,goal_03,exito,2094,513.25,1,1
254,goal_03,exito,2094,513.26,1,1
255,goal_03,exito,2094,513.26,1,1
256,goal_03,exito,2094,513.25,1,1
257,goal_03,exito,2094,513.25,1,1
258,goal_03,exito,2094,513.26,1,1
259,goal_03,exito,2094,513.26,1,1
260,goal_03,exito,2094,513.25,1,1
261,goal_03,exito,2094,513.25,1,1
262,goal_03,exito,2094,513.26,1,1
263,goal_03,exito,2094,513.26,1,1
264,goal_03,exito,2094,513.26,1,1
265,goal_03,exito,2094,513.26,1,1
266,goal_03,exito,2094,513.26,1,1
267,goal_03,exito,2094,513.23,1,1
268,goal_03,exito,2094,513.26,1,1
269,goal_03,exito,2094,513.26,1,1
270,goal_03,exito,2094,513.27,1,1
271,goal_03,exito,2094,513.27,1,1
272,goal_03,exito,2094,513.25,1,1
273,goal_03,exito,2094,513.25,1,1
274,goal_03,exito,2094,513.27,1,1
275,goal_03,exito,2094,513.27,1,1
276,goal_03,exito,2094,513.27,1,1
277,goal_03,exito,2094,513.25,1,1
278,goal_03,exito,2094,513.26,1,1
279,goal_03,exito,2094,513.26,1,1
280,goal_03,exito,2094,513.25,1,1
281,goal_03,exito,2094,513.26,1,1
282,goal_03,exito,2094,513.26,1,1
283,goal_03,exito,2094,513.26,1,1
284,goal_03,exito,2094,513.25,1,1
285,goal_03,exito,2094,513.25,1,1
286,goal_03,exito,2094,513.26,1,1
287,goal_03,exito,2094,513.26,1,1
288,goal_03,exito,2094,513.26,1,1
289,goal_03,exito,2094,513.26,1,1
290,goal_03,exito,2094,513.26,1,1
291,goal_03,exito,2094,513.26,1,1
292,goal_03,exito,2094,513.23,1,1
293,goal_03,exito,2094,513.26,1,1
294,goal_03,exito,2094,513.27,1,1
295,goal_03,exito,2094,513.27,1,1
296,goal_03,exito,2094,513.27,1,1
297,goal_03,exito,2094,513.25,1,1
298,goal_03,exito,2094,513.27,1,1
299,goal_03,exito,2094,513.27,1,1
300,goal_03,exito,2094,513.27,1,1
301,goal_04,exito,2279,542.35,1,1
302,goal_04,exito,2279,542.35,1,1
303,goal_04,exito,2279,542.36,1,1
304,goal_04,exito,2279,542.35,1,1
305,goal_04,exito,2279,542.35,1,1
306,goal_04,exito,2279,542.35,1,1
307,goal_04,exito,2279,542.35,1,1
308,goal_04,exito,2279,542.44,1,1
309,goal_04,exito,2279,542.35,1,1
310,goal_04,exito,2279,542.35,1,1
311,goal_04,exito,2279,542.44,1,1
312,goal_04,exito,2279,542.44,1,1
313,goal_04,exito,2279,542.35,1,1
314,goal_04,exito,2279,542.35,1,1
315,goal_04,exito,2279,542.44,1,1
316,goal_04,exito,2279,542.44,1,1
317,goal_04,exito,2279,542.34,1,1
318,goal_04,exito,2279,542.35,1,1
319,goal_04,exito,2279,542.34,1,1
320,goal_04,exito,2279,542.44,1,1
321,goal_04,exito,2279,542.35,1,1
322,goal_04,exito,2279,542.35,1,1
323,goal_04,exito,2279,542.44,1,1
324,goal_04,exito,2279,542.35,1,1
325,goal_04,exito,2279,542.35,1,1
326,goal_04,exito,2279,542.35,1,1
327,goal_04,exito,2279,542.35,1,1
328,goal_04,exito,2279,542.35,1,1
329,goal_04,exito,2279,542.36,1,1
330,goal_04,exito,2279,542.35,1,1
331,goal_04,exito,2279,542.35,1,1
332,goal_04,exito,2279,542.35,1,1
333,goal_04,exito,2279,542.35,1,1
334,goal_04,exito,2279,542.35,1,1
335,goal_04,exito,2279,542.44,1,1
336,goal_04,exito,2279,542.44,1,1
337,goal_04,exito,2279,542.35,1,1
338,goal_04,exito,2279,542.44,1,1
339,goal_04,exito,2279,542.43,1,1
340,goal_04,exito,2279,542.34,1,1
341,goal_04,exito,2279,542.35,1,1
342,goal_04,exito,2279,542.35,1,1
343,goal_04,exito,2279,542.44,1,1
344,goal_04,exito,2279,542.34,1,1
345,goal_04,exito,2279,542.35,1,1
346,goal_04,exito,2279,542.35,1,1
347,goal_04,exito,2279,542.35,1,1
348,goal_04,exito,2279,542.35,1,1
349,goal_04,exito,2279,542.35,1,1
350,goal_04,exito,2279,542.35,1,1
351,goal_04,exito,2279,542.35,1,1
352,goal_04,exito,2279,542.35,1,1
353,goal_04,exito,2279,542.35,1,1
354,goal_04,exito,2279,542.35,1,1
355,goal_04,exito,2279,542.44,1,1
356,goal_04,exito,2279,542.35,1,1
357,goal_04,exito,2279,542.35,1,1
358,goal_04,exito,2279,542.35,1,1
