episodio,goal_id,rep,resultado,pasos,reward,warehouse_id,metodo,seed,peaton
144,goal_015,4,exito,5626,1028.6,02,subwp,524,1
145,goal_015,5,exito,5626,1028.58,02,subwp,524,1
146,goal_015,6,exito,5626,1028.54,02,subwp,524,1
147,goal_015,7,exito,5626,1028.53,02,subwp,524,1
148,goal_015,8,exito,5626,1017.91,02,subwp,524,1
149,goal_015,9,exito,5626,1026.74,02,subwp,524,1
150,goal_015,10,exito,5626,1028.54,02,subwp,524,1
151,goal_016,1,exito,5596,1036.58,02,subwp,524,1
152,goal_016,2,exito,5596,1024.3,02,subwp,524,1
153,goal_016,3,exito,5597,1042.71,02,subwp,524,1
154,goal_016,4,exito,5596,1042.45,02,subwp,524,1
155,goal_016,5,exito,5596,1036.33,02,subwp,524,1
156,goal_016,6,exito,5597,1042.72,02,subwp,524,1
157,goal_016,7,exito,5596,1042.38,02,subwp,524,1
158,goal_016,8,exito,5597,1042.72,02,subwp,524,1
159,goal_016,9,exito,5596,1042.54,02,subwp,524,1
160,goal_016,10,exito,5596,1042.51,02,subwp,524,1
161,goal_017,1,exito,5663,1052.06,02,subwp,524,1
162,goal_017,2,exito,5663,1051.92,02,subwp,524,1
163,goal_017,3,exito,5663,1052.0,02,subwp,524,1
164,goal_017,4,exito,5663,1029.98,02,subwp,524,1
165,goal_017,5,exito,5663,1049.97,02,subwp,524,1
166,goal_017,6,exito,5663,1052.03,02,subwp,524,1
167,goal_017,7,exito,5663,1052.03,02,subwp,524,1
168,goal_017,8,exito,5663,1052.04,02,subwp,524,1
169,goal_017,9,exito,5663,1051.99,02,subwp,524,1
170,goal_017,10,exito,5663,1052.05,02,subwp,524,1
171,goal_018,1,exito,5727,1063.24,02,subwp,524,1
172,goal_018,2,exito,5725,1063.46,02,subwp,524,1
173,goal_018,3,exito,5727,1063.68,02,subwp,524,1
174,goal_018,4,exito,5725,1062.87,02,subwp,524,1
175,goal_018,5,exito,5727,1063.7,02,subwp,524,1
176,goal_018,6,exito,5725,1063.42,02,subwp,524,1
177,goal_018,7,exito,5727,1063.74,02,subwp,524,1
178,goal_018,8,exito,5725,1051.52,02,subwp,524,1
179,goal_018,9,exito,5727,1062.66,02,subwp,524,1
180,goal_018,10,exito,5725,1063.41,02,subwp,524,1
181,goal_019,1,exito,5661,1050.77,02,subwp,524,1
182,goal_019,2,exito,5661,1050.72,02,subwp,524,1
183,goal_019,3,exito,5660,1050.73,02,subwp,524,1
184,goal_019,4,exito,5660,1050.73,02,subwp,524,1
185,goal_019,5,exito,5659,1050.56,02,subwp,524,1
186,goal_019,6,exito,5661,1050.75,02,subwp,524,1
187,goal_019,7,exito,5660,1050.73,02,subwp,524,1
188,goal_019,8,exito,5660,1050.73,02,subwp,524,1
189,goal_019,9,exito,5660,1050.73,02,subwp,524,1
190,goal_019,10,exito,5660,1050.72,02,subwp,524,1
191,goal_020,1,exito,5646,1058.08,02,subwp,524,1
192,goal_020,2,exito,5646,1058.07,02,subwp,524,1
193,goal_020,3,exito,5646,1058.09,02,subwp,524,1
194,goal_020,4,exito,5646,1058.07,02,subwp,524,1
195,goal_020,5,exito,5645,1058.04,02,subwp,524,1
196,goal_020,6,exito,5645,1058.06,02,subwp,524,1
197,goal_020,7,exito,5646,1058.05,02,subwp,524,1
198,goal_020,8,exito,5646,1058.07,02,subwp,524,1
199,goal_020,9,exito,5646,1058.08,02,subwp,524,1
200,goal_020,10,exito,5645,1058.02,02,subwp,524,1
201,goal_021,1,exito,5620,1054.76,02,subwp,524,1
202,goal_021,2,exito,5620,1054.76,02,subwp,524,1
203,goal_021,3,exito,5620,1054.77,02,subwp,524,1
204,goal_021,4,exito,5620,1054.77,02,subwp,524,1
205,goal_021,5,exito,5620,1054.76,02,subwp,524,1
206,goal_021,6,exito,5620,1054.76,02,subwp,524,1
207,goal_021,7,exito,5620,1054.76,02,subwp,524,1
208,goal_021,8,exito,5620,1054.77,02,subwp,524,1
209,goal_021,9,exito,5620,1054.77,02,subwp,524,1
210,goal_021,10,exito,5620,1054.77,02,subwp,524,1
211,goal_022,1,exito,5558,1045.92,02,subwp,524,1
212,goal_022,2,exito,5558,1045.93,02,subwp,524,1
213,goal_022,3,exito,5558,1045.92,02,subwp,524,1
214,goal_022,4,exito,5558,1045.92,02,subwp,524,1
215,goal_022,5,exito,5559,1045.99,02,subwp,524,1
216,goal_022,6,exito,5559,1045.99,02,subwp,524,1
217,goal_022,7,exito,5559,1046.01,02,subwp,524,1
218,goal_022,8,exito,5559,1045.99,02,subwp,524,1
219,goal_022,9,exito,5559,1045.98,02,subwp,524,1
220,goal_022,10,exito,5559,1045.99,02,subwp,524,1
221,goal_023,1,exito,5539,1044.56,02,subwp,524,1
222,goal_023,2,exito,5539,1044.55,02,subwp,524,1
223,goal_023,3,exito,5539,1044.55,02,subwp,524,1
224,goal_023,4,exito,5539,1044.55,02,subwp,524,1
225,goal_023,5,exito,5539,1044.46,02,subwp,524,1
226,goal_023,6,exito,5539,1044.55,02,subwp,524,1
227,goal_023,7,exito,5539,1044.46,02,subwp,524,1
228,goal_023,8,exito,5539,1044.46,02,subwp,524,1
229,goal_023,9,exito,5539,1044.47,02,subwp,524,1
230,goal_023,10,exito,5539,1044.47,02,subwp,524,1
231,goal_024,1,exito,5540,1040.79,02,subwp,524,1
232,goal_024,2,exito,5540,1040.79,02,subwp,524,1
233,goal_024,3,exito,5540,1040.79,02,subwp,524,1
234,goal_024,4,exito,5540,1040.79,02,subwp,524,1
235,goal_024,5,exito,5540,1040.79,02,subwp,524,1
236,goal_024,6,exito,5540,1040.79,02,subwp,524,1
237,goal_024,7,exito,5540,1040.8,02,subwp,524,1
238,goal_024,8,exito,5540,1040.8,02,subwp,524,1
239,goal_024,9,exito,5540,1040.79,02,subwp,524,1
240,goal_024,10,exito,5540,1040.8,02,subwp,524,1
241,goal_025,1,exito,5561,1037.54,02,subwp,524,1
242,goal_025,2,exito,5561,1037.56,02,subwp,524,1
243,goal_025,3,exito,5561,1037.54,02,subwp,524,1
244,goal_025,4,exito,5561,1037.55,02,subwp,524,1
245,goal_025,5,exito,5561,1037.55,02,subwp,524,1
246,goal_025,6,exito,5561,1037.5,02,subwp,524,1
247,goal_025,7,exito,5561,1037.57,02,subwp,524,1
248,goal_025,8,exito,5561,1037.51,02,subwp,524,1
